"_id","_labels",":START_ID",":END_ID",":TYPE"
,,"777","0","FOLLOWS"
,,"0","778","FOLLOWS"
,,"780","0","FOLLOWS"
,,"0","785","FOLLOWS"
,,"788","0","FOLLOWS"
,,"0","789","FOLLOWS"
,,"790","0","FOLLOWS"
,,"0","791","FOLLOWS"
,,"801","0","FOLLOWS"
,,"0","802","FOLLOWS"
,,"803","0","FOLLOWS"
,,"0","804","FOLLOWS"
,,"805","0","FOLLOWS"
,,"809","0","FOLLOWS"
,,"0","810","FOLLOWS"
,,"815","0","FOLLOWS"
,,"0","816","FOLLOWS"
,,"819","0","FOLLOWS"
,,"0","821","FOLLOWS"
,,"0","822","FOLLOWS"
,,"823","0","FOLLOWS"
,,"0","825","FOLLOWS"
,,"826","0","FOLLOWS"
,,"0","827","FOLLOWS"
,,"828","0","FOLLOWS"
,,"0","831","FOLLOWS"
,,"832","0","FOLLOWS"
,,"840","0","FOLLOWS"
,,"0","839","FOLLOWS"
,,"842","0","FOLLOWS"
,,"0","845","FOLLOWS"
,,"848","0","FOLLOWS"
,,"0","849","FOLLOWS"
,,"0","851","FOLLOWS"
,,"853","0","FOLLOWS"
,,"0","854","FOLLOWS"
,,"856","0","FOLLOWS"
,,"0","861","FOLLOWS"
,,"860","0","FOLLOWS"
,,"0","862","FOLLOWS"
,,"863","0","FOLLOWS"
,,"0","869","FOLLOWS"
,,"875","0","FOLLOWS"
,,"0","874","FOLLOWS"
,,"877","0","FOLLOWS"
,,"0","878","FOLLOWS"
,,"881","0","FOLLOWS"
,,"0","883","FOLLOWS"
,,"885","0","FOLLOWS"
,,"0","888","FOLLOWS"
,,"890","0","FOLLOWS"
,,"0","891","FOLLOWS"
,,"0","897","FOLLOWS"
,,"898","0","FOLLOWS"
,,"902","0","FOLLOWS"
,,"0","903","FOLLOWS"
,,"0","907","FOLLOWS"
,,"906","0","FOLLOWS"
,,"911","0","FOLLOWS"
,,"0","912","FOLLOWS"
,,"0","917","FOLLOWS"
,,"914","0","FOLLOWS"
,,"0","919","FOLLOWS"
,,"920","0","FOLLOWS"
,,"926","0","FOLLOWS"
,,"0","927","FOLLOWS"
,,"0","929","FOLLOWS"
,,"930","0","FOLLOWS"
,,"936","0","FOLLOWS"
,,"0","935","FOLLOWS"
,,"938","0","FOLLOWS"
,,"0","939","FOLLOWS"
,,"945","0","FOLLOWS"
,,"0","946","FOLLOWS"
,,"949","0","FOLLOWS"
